Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,173,sugar maple,2018,11.63,1.0,11.4,0.0201754385964912,normal,29.5402,hardwood,180.72247078183307,663.2514677693273,172.6076221318073,0.0470132694593816
Upper,173,sugar maple,2021,12.1,3.0,11.63,0.0134709085697907,annualized,30.734,hardwood,197.96351814207748,726.5261115814243,180.72247078183307,0.031800228061766
Upper,173,sugar maple,2022,12.5,1.0,12.1,0.0330578512396694,normal,31.75,hardwood,213.33977932886583,782.9569901369376,197.96351814207748,0.077672196024284
Upper,173,sugar maple,2023,12.25,1.0,12.5,-0.02,normal,31.115,hardwood,203.6534706142324,747.4082371542329,213.33977932886583,-0.0454032002147235
Upper,173,sugar maple,2024,12.55,1.0,12.25,0.0244897959183674,normal,31.877,hardwood,215.30761042602103,790.1789302634973,203.6534706142324,0.0572253435045276
Upper,173,sugar maple,2025,12.5,1.0,12.55,-0.0039840637450199,normal,31.75,hardwood,213.33977932886583,782.9569901369376,215.30761042602103,-0.0091396262921758
Upper,174,sugar maple,2015,8.8,,,,initial,22.352000000000004,hardwood,95.16756503565736,349.2649636808625,,
Upper,174,sugar maple,2016,8.75,1.0,8.8,-0.0056818181818182,normal,22.225,hardwood,93.9284884687798,344.7175526804219,95.16756503565736,-0.0130199460962701
Upper,174,sugar maple,2017,7.8,1.0,8.75,-0.1085714285714286,normal,19.812,hardwood,72.1101498083406,264.64424979661,93.9284884687798,-0.2322867004049708
Upper,174,sugar maple,2018,8.94,1.0,7.8,0.1461538461538461,normal,22.7076,hardwood,98.68589969991038,362.1772518986711,72.1101498083406,0.3685438175098051
Upper,174,sugar maple,2021,9.0,3.0,8.94,0.0022371364653244,annualized,22.86,hardwood,100.21588898634975,367.7923125799036,98.68589969991038,0.0051678753536619
Upper,174,sugar maple,2022,9.13,1.0,9.0,0.0144444444444445,normal,23.1902,hardwood,103.576587874566,380.1260774996573,100.21588898634975,0.0335345913927281
Upper,174,sugar maple,2023,9.0,1.0,9.13,-0.0142387732749179,normal,22.86,hardwood,100.21588898634975,367.7923125799036,103.576587874566,-0.0324465109073311
Upper,174,sugar maple,2024,9.19,1.0,9.0,0.021111111111111,normal,23.342599999999997,hardwood,105.1488404564572,385.89624447519793,100.21588898634975,0.0492232471317932
Upper,174,sugar maple,2025,9.2,1.0,9.19,0.001088139281828,normal,23.368,hardwood,105.4121847485703,386.862718027253,105.1488404564572,0.0025044906911944
Upper,175,sugar maple,2015,4.94,,,,initial,12.5476,hardwood,25.220331699329503,92.55861733653929,,
Upper,175,sugar maple,2016,5.0,1.0,4.94,0.0121457489878541,normal,12.7,hardwood,25.930436145543343,95.16470065414408,25.220331699329503,0.0281560312005221
